Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
apps_proc/core/mproc/ipc_router/ipc_router_init.c,42,15,60,0,119,0,0
apps_proc/core/mproc/ipc_router/ipc_router_xal_glink_common.c,1516,0,13,0,1535,0,0
apps_proc/core/mproc/ipc_router/ipc_router_xal_glink_qurt.c,430,0,0,0,430,0,0
apps_proc/core/mproc/glink/core/src/glink_api.c,3300,22,0,0,3322,0,1
apps_proc/core/mproc/glink/core/src/glink_vector.c,222,0,0,0,226,0,0
apps_proc/core/mproc/glink/core/src/glink_core_intent.c,1988,50,0,0,2038,0,3
apps_proc/core/mproc/glink/core/src/glink_core_internal.c,2832,151,92,760,3837,0,10
apps_proc/core/mproc/glink/core/src/glink_core_setup.c,22,0,0,0,26,0,0
apps_proc/core/mproc/glink/core/src/glink_core_full_xport.c,1776,84,68,0,1928,0,6
apps_proc/core/mproc/glink/core/src/glink_core_intentless_xport.c,156,0,68,0,224,0,0
apps_proc/core/mproc/glink/core/src/glink_core_if.c,1968,154,0,0,2122,0,7
apps_proc/core/mproc/glink/core/src/glink_channel_migration.c,1938,654,0,0,2596,0,10
apps_proc/core/mproc/glink/os/src/glink_os_utils_dal.c,1806,151,20,0,1985,0,13
apps_proc/core/mproc/glink/os/src/glink_os_cache_dal.c,6,0,0,0,10,0,0
apps_proc/core/mproc/glink/sio/src/glink_sio_task.c,354,27,0,1568,1955,0,1
apps_proc/core/mproc/glink/sio/src/glink_sio.c,6052,1256,596,832,8736,0,22
apps_proc/core/mproc/glink/xport_rpm/src/xport_rpm.c,3102,152,4,12,3278,0,14
apps_proc/core/mproc/glink/xport_rpm/src/9205/xport_rpm_config.c,12,28,8,0,48,0,0
apps_proc/core/mproc/glink/xport_smem/src/xport_smem.c,5502,255,8,0,5771,0,17
apps_proc/core/mproc/glink/xport_smem/src/generic_config/xport_smem_config.c,12,46,28,0,86,0,0
apps_proc/core/mproc/glink/xport_smem/src/xport_smem_qos_generic.c,46,0,0,0,46,0,0
apps_proc/core/debugtools/err/src/err_action.c,228,33,1,0,274,0,2
apps_proc/core/debugtools/err/src/err_image_version.c,44,0,0,0,44,0,0
apps_proc/core/debugtools/err/src/err_nv_efs.c,168,204,0,0,372,0,1
apps_proc/core/debugtools/err/src/err.c,1522,138,40,1240,2952,0,3
apps_proc/core/debugtools/err/src/err_nv_log.c,602,0,12,344,958,0,0
apps_proc/core/debugtools/err/src/err_exception_handler.c,76,0,154,80,310,0,1
apps_proc/core/debugtools/err/src/err_reset_detect.c,4,0,0,0,4,0,0
apps_proc/core/debugtools/err/src/arm/err_jettison_core.s,112,0,0,0,112,0,0
